state,scheme,C2S_eff,C2S_err,chi2_red,ndf
ex2.763_1half-,fine,0.000570229,0.000189045,1.63938,7
ex2.763_1half-,coarse2,0.00105183,0.00021986,1.45007,3
ex2.763_1half-,coarse4,0.00103371,0.000222962,2.80542,1
ex2.980_3half+,fine,0.00016063,5.90047e-05,2.99631,7
ex2.980_3half+,coarse2,0.000525036,0.000100269,1.74099,3
ex2.980_3half+,coarse4,0.0005803,0.000104468,0.350626,1
ex3.661_NEW,fine,0.00153236,0.000216705,1.00499,7
ex3.661_NEW,coarse2,0.00205993,0.000226227,0.733894,3
ex3.661_NEW,coarse4,0.00196826,0.000225494,0.247486,1
ex4.231_3half+,fine,0.00557244,0.000524312,1.10862,7
ex4.231_3half+,coarse2,0.00590673,0.000513454,1.15788,3
ex4.231_3half+,coarse4,,,,0
ex4.841_1half+,fine,0.353811,0.039921,1.77985,7
ex4.841_1half+,coarse2,0.335565,0.044748,0.295384,2
ex4.841_1half+,coarse4,,,,0
ex5.91_3half+,fine,0.0571705,0.0059649,1.7142,5
ex5.91_3half+,coarse2,0.0606172,0.00580956,0.873387,2
ex5.91_3half+,coarse4,,,,0
ex6.30_5half+,fine,0.0178992,0.00805487,0.160061,4
ex6.30_5half+,coarse2,0.0101246,0.00746855,0.114744,2
ex6.30_5half+,coarse4,,,,0
