bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
10,20,15,gs_3half+,0,0.47256,0.115967,0.8126,0.01902
10,20,15,ex_1half+_217,0.218,1.00696,0.144774,0.8126,0.01902
10,20,15,ex_5half+_335,0.35,0.000411974,2.41929,0.8126,0.01902
10,20,15,ex2.763_1half-,2.8,0.582016,0.16491,0.814396,0.0154352
10,20,15,ex2.980_3half+,3.02,1.14946,0.215354,0.81387,0.0183378
10,20,15,ex3.661_NEW,3.68855,2.3205,0.289835,0.813169,0.0143776
20,30,25,gs_3half+,0,0.407443,0.0793216,0.855714,0.015151
20,30,25,ex_1half+_217,0.218,0.134713,0.111529,0.855714,0.015151
20,30,25,ex_5half+_335,0.35,0.205644,0.0917787,0.855714,0.015151
20,30,25,ex2.763_1half-,2.8,0.479394,0.108579,0.841232,0.0124275
20,30,25,ex2.980_3half+,3.02,0.437967,0.125649,0.845358,0.0147938
20,30,25,ex3.661_NEW,3.68855,1.00197,0.160464,0.875268,0.0115183
20,30,25,ex4.231_3half+,4.23961,1.47542,0.198297,0.879728,0.0116176
20,30,25,ex4.841_1half+,4.93255,1.20673,0.223478,0.887643,0.0115124
20,30,25,ex5.91_3half+,5.97539,4.33062,0.486494,0.718518,0.0109185
20,30,25,ex6.30_5half+,6.35494,0.186222,0.237762,0.715991,0.013762
30,40,35,gs_3half+,0,0.40862,0.0740774,0.787662,0.012423
30,40,35,ex_1half+_217,0.218,0.276181,0.12874,0.787662,0.012423
30,40,35,ex_5half+_335,0.35,0.589825,0.111573,0.787662,0.012423
30,40,35,ex2.763_1half-,2.8,0.168114,0.113334,0.512118,0.00757967
30,40,35,ex2.980_3half+,3.02,0.0581304,0.146259,0.469365,0.00884726
30,40,35,ex3.661_NEW,3.68855,0.327395,0.165565,0.497481,0.00744545
30,40,35,ex4.231_3half+,4.23961,0.00587649,0.109551,0.514771,0.00757387
30,40,35,ex4.841_1half+,4.93255,0.00538181,0.0285544,0.540854,0.00725812
30,40,35,ex5.91_3half+,5.97539,0.00292628,0.00365549,0.801332,0.00985454
30,40,35,ex6.30_5half+,6.35494,0.00365942,0.0195817,0.815066,0.0124695
