bin_lo,bin_hi,bin_center,state,Ex_MeV,counts,counts_err
10,20,15,gs_3half+,0,34.5039,8.4287
10,20,15,ex_1half+_217,0.218,73.5229,10.4296
10,20,15,ex_5half+_335,0.35,0.0300802,176.644
10,20,15,ex2.763_1half-,2.8,42.5898,12.0405
10,20,15,ex2.980_3half+,3.02,84.0591,15.6344
10,20,15,ex3.661_NEW,3.68855,169.55,20.9639
10,20,15,ex4.231_3half+,4.23961,303.699,27.6742
10,20,15,ex4.841_1half+,4.93255,273.708,31.2225
10,20,15,ex5.91_3half+,5.97539,569.868,53.5308
10,20,15,ex6.30_5half+,6.35494,61.4844,30.3471
20,30,25,gs_3half+,0,51.1543,9.91752
20,30,25,ex_1half+_217,0.218,16.9132,13.9993
20,30,25,ex_5half+_335,0.35,25.8185,11.5137
20,30,25,ex2.763_1half-,2.8,59.1692,13.3728
20,30,25,ex2.980_3half+,3.02,54.3211,15.5552
20,30,25,ex3.661_NEW,3.68855,128.672,20.537
20,30,25,ex4.231_3half+,4.23961,190.436,25.4708
20,30,25,ex4.841_1half+,4.93255,157.158,29.0331
20,30,25,ex5.91_3half+,5.97539,456.536,50.8151
20,30,25,ex6.30_5half+,6.35494,19.5625,24.9739
30,40,35,gs_3half+,0,64.0899,11.5746
30,40,35,ex_1half+_217,0.218,43.3175,20.1806
30,40,35,ex_5half+_335,0.35,92.5111,17.4388
30,40,35,ex2.763_1half-,2.8,17.1436,11.5546
30,40,35,ex2.980_3half+,3.02,5.43305,13.6694
30,40,35,ex3.661_NEW,3.68855,32.4323,16.394
30,40,35,ex4.231_3half+,4.23961,0.602368,11.2295
30,40,35,ex4.841_1half+,4.93255,0.579613,3.07526
30,40,35,ex5.91_3half+,5.97539,0.466938,0.583268
30,40,35,ex6.30_5half+,6.35494,0.593929,3.17812
