bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
10,12.5,11.25,gs_3half+,0,0.829051,0.432628,0.822117,0.0218053
10,12.5,11.25,ex_1half+_217,0.218,0.726595,0.411483,0.822117,0.0218053
10,12.5,11.25,ex_5half+_335,0.35,0.00215827,0.50692,0.822117,0.0218053
10,12.5,11.25,ex2.763_1half-,2.8,0.126431,0.299521,0.763719,0.017077
10,12.5,11.25,ex2.980_3half+,3.02,0.0492768,0.150508,0.752759,0.0202625
10,12.5,11.25,ex3.661_NEW,3.68855,2.03065,0.864782,0.665088,0.0140458
10,12.5,11.25,ex4.231_3half+,4.23961,5.44693,1.51318,0.549904,0.0132425
10,12.5,11.25,ex4.841_1half+,4.93255,18.2441,3.19304,0.345166,0.00909492
12.5,15,13.75,gs_3half+,0,0.468356,0.323551,0.820571,0.0197305
12.5,15,13.75,ex_1half+_217,0.218,1.62016,0.486312,0.820571,0.0197305
12.5,15,13.75,ex_5half+_335,0.35,0.00177483,0.101769,0.820571,0.0197305
12.5,15,13.75,ex2.763_1half-,2.8,0.359314,0.36727,0.813357,0.0160954
12.5,15,13.75,ex2.980_3half+,3.02,1.54631,0.583836,0.813997,0.0191357
12.5,15,13.75,ex3.661_NEW,3.68855,2.49827,0.772682,0.803683,0.0149221
12.5,15,13.75,ex4.231_3half+,4.23961,4.48832,1.07345,0.735045,0.0147241
12.5,15,13.75,ex4.841_1half+,4.93255,6.60982,1.68488,0.552451,0.011594
15,17.5,16.25,gs_3half+,0,0.17103,0.224229,0.804628,0.0183095
15,17.5,16.25,ex_1half+_217,0.218,1.02455,0.371668,0.804628,0.0183095
15,17.5,16.25,ex_5half+_335,0.35,0.0015374,1.18135,0.804628,0.0183095
15,17.5,16.25,ex2.763_1half-,2.8,0.409285,0.360682,0.815435,0.0147751
15,17.5,16.25,ex2.980_3half+,3.02,2.06747,0.595631,0.813743,0.01754
15,17.5,16.25,ex3.661_NEW,3.68855,1.16992,0.536196,0.822656,0.0138332
15,17.5,16.25,ex4.231_3half+,4.23961,4.55526,0.873153,0.805661,0.013878
15,17.5,16.25,ex4.841_1half+,4.93255,2.41838,0.850297,0.75018,0.0126047
