state,bin_center,dsdo_mbsr,stat_err,syst_half,scale_err_corr,band_pointwise,lo_pointwise,hi_pointwise,scale_lo,scale_hi
ex2.763_1half-,11.25,0.0486012,4.23504,0.0053384,0.00583214,4.23504,0,4.28364,0.0427691,0.0544333
ex2.763_1half-,13.75,0.731148,0.31733,0.070832,0.0877378,0.325139,0.406009,1.05629,0.64341,0.818886
ex2.763_1half-,16.25,0.904493,0.294008,0.0538535,0.108539,0.298899,0.605594,1.20339,0.795954,1.01303
ex2.763_1half-,18.75,0.494252,0.251376,0.059081,0.0593102,0.258226,0.236026,0.752478,0.434942,0.553562
ex2.763_1half-,21.25,0.97173,0.254898,0.035832,0.116608,0.257404,0.714326,1.22913,0.855122,1.08834
ex2.763_1half-,23.75,0.156156,0.167764,0.030303,0.0187387,0.170479,0,0.326635,0.137417,0.174895
ex2.763_1half-,26.25,0.668926,0.191689,0.0399025,0.0802711,0.195798,0.473128,0.864724,0.588655,0.749197
ex2.763_1half-,28.75,0.506914,0.163281,0.0316015,0.0608297,0.166311,0.340603,0.673225,0.446084,0.567744
ex2.763_1half-,31.25,0.443037,0.163132,0.0248445,0.0531644,0.165013,0.278024,0.60805,0.389873,0.496201
ex2.763_1half-,33.75,0.129176,0.156146,0.014502,0.0155011,0.156818,0,0.285994,0.113675,0.144677
ex2.980_3half+,11.25,0.0499929,0.0967261,0.00022655,0.00599915,0.0967264,0,0.146719,0.0439938,0.055992
ex2.980_3half+,13.75,0.955205,0.363323,0.540714,0.114625,0.651441,0.303764,1.60665,0.84058,1.06983
ex2.980_3half+,16.25,1.28888,0.348138,0.08231,0.154666,0.357736,0.931144,1.64662,1.13421,1.44355
ex2.980_3half+,18.75,0.343969,0.240865,0.337401,0.0412763,0.414554,0,0.758523,0.302693,0.385245
ex2.980_3half+,21.25,0.0538854,0.259329,0.0673215,0.00646625,0.267925,0,0.32181,0.0474192,0.0603516
ex2.980_3half+,23.75,0.24776,0.183854,0.164839,0.0297312,0.24693,0.000830477,0.49469,0.218029,0.277491
ex2.980_3half+,26.25,0.269544,0.163332,0.160021,0.0323453,0.228657,0.0408869,0.498201,0.237199,0.301889
ex2.980_3half+,28.75,0.213642,0.160099,0.07577,0.025637,0.177124,0.0365184,0.390766,0.188005,0.239279
ex2.980_3half+,31.25,0.176637,0.143812,0.109369,0.0211964,0.180675,0,0.357312,0.155441,0.197833
ex2.980_3half+,33.75,0.133909,0.181875,0.079177,0.0160691,0.198362,0,0.332271,0.11784,0.149978
ex3.661_NEW,11.25,2.21635,0.864256,0.243875,0.265962,0.898005,1.31834,3.11436,1.95039,2.48231
ex3.661_NEW,13.75,3.26255,0.766026,0.383615,0.391506,0.856712,2.40584,4.11926,2.87104,3.65406
ex3.661_NEW,16.25,1.78527,0.54366,0.237275,0.214232,0.593183,1.19209,2.37845,1.57104,1.9995
ex3.661_NEW,18.75,2.53874,0.553059,0.325155,0.304649,0.641561,1.89718,3.1803,2.23409,2.84339
ex3.661_NEW,21.25,0.81449,0.386195,0.123299,0.0977388,0.4054,0.40909,1.21989,0.716751,0.912229
ex3.661_NEW,23.75,1.077,0.398274,0.10097,0.12924,0.410874,0.666126,1.48787,0.94776,1.20624
