bin_lo,bin_hi,bin_center,state,Ex_MeV,dsdo_mbsr,dsdo_err_mbsr,eff,eff_err
10,12.5,11.25,gs_3half+,0,0.840903,0.432714,0.822117,0.0218053
10,12.5,11.25,ex_1half+_217,0.218,0.73958,0.41148,0.822117,0.0218053
10,12.5,11.25,ex_5half+_335,0.35,0.00215827,0.578154,0.822117,0.0218053
10,12.5,11.25,ex2.763_1half-,2.83219,0.0486012,4.23549,0.762377,0.0175704
10,12.5,11.25,ex2.980_3half+,3.10579,0.0499929,0.115469,0.741509,0.018585
10,12.5,11.25,ex3.661_NEW,3.72273,2.21635,0.972035,0.660605,0.0143018
10,12.5,11.25,ex4.231_3half+,4.21907,1.72085,1.08184,0.556275,0.0136048
10,12.5,11.25,ex4.841_1half+,4.94246,32.6538,4.5226,0.342858,0.00937651
12.5,15,13.75,gs_3half+,0,0.463008,0.322831,0.820571,0.0197305
12.5,15,13.75,ex_1half+_217,0.218,1.61579,0.48594,0.820571,0.0197305
12.5,15,13.75,ex_5half+_335,0.35,0.00177483,0.10067,0.820571,0.0197305
12.5,15,13.75,ex2.763_1half-,2.83219,0.731148,0.379755,0.813509,0.0165711
12.5,15,13.75,ex2.980_3half+,3.10579,0.955205,0.434641,0.812674,0.0175819
12.5,15,13.75,ex3.661_NEW,3.72273,3.26255,0.885138,0.803155,0.0152937
12.5,15,13.75,ex4.231_3half+,4.21907,1.8911,0.76288,0.740516,0.0150701
12.5,15,13.75,ex4.841_1half+,4.94246,13.0251,2.41567,0.54996,0.011914
15,17.5,16.25,gs_3half+,0,0.167358,0.223777,0.804628,0.0183095
15,17.5,16.25,ex_1half+_217,0.218,1.0209,0.371396,0.804628,0.0183095
15,17.5,16.25,ex_5half+_335,0.35,0.0015374,1.08422,0.804628,0.0183095
15,17.5,16.25,ex2.763_1half-,2.83219,0.904493,0.363422,0.815119,0.0152042
15,17.5,16.25,ex2.980_3half+,3.10579,1.28888,0.431562,0.814886,0.0161188
15,17.5,16.25,ex3.661_NEW,3.72273,1.78527,0.620292,0.823112,0.0141854
15,17.5,16.25,ex4.231_3half+,4.21907,2.39909,0.649617,0.807474,0.0141634
15,17.5,16.25,ex4.841_1half+,4.94246,6.2672,1.24963,0.749729,0.0130024
15,17.5,16.25,ex5.91_3half+,5.98862,6.36602,1.41989,0.666082,0.0134525
15,17.5,16.25,ex6.30_5half+,6.36845,0.713075,0.666226,0.667418,0.0150577
17.5,20,18.75,gs_3half+,0,0.153079,0.215332,0.812652,0.0171593
17.5,20,18.75,ex_1half+_217,0.218,0.00132517,0.538516,0.812652,0.0171593
17.5,20,18.75,ex_5half+_335,0.35,0.116208,0.179947,0.812652,0.0171593
17.5,20,18.75,ex2.763_1half-,2.83219,0.494252,0.290989,0.823635,0.0142555
17.5,20,18.75,ex2.980_3half+,3.10579,0.343969,0.270124,0.823654,0.0151126
17.5,20,18.75,ex3.661_NEW,3.72273,2.53874,0.643655,0.838353,0.0132597
17.5,20,18.75,ex4.231_3half+,4.21907,1.88673,0.536806,0.844782,0.0133276
17.5,20,18.75,ex4.841_1half+,4.94246,3.41192,0.994188,0.852307,0.0132194
17.5,20,18.75,ex5.91_3half+,5.98862,4.18586,1.05704,0.854141,0.0153098
17.5,20,18.75,ex6.30_5half+,6.36845,0.652658,0.487412,0.85534,0.0171367
20,22.5,21.25,gs_3half+,0,0.226973,0.172374,0.844645,0.0162797
20,22.5,21.25,ex_1half+_217,0.218,0.00113075,0.164594,0.844645,0.0162797
20,22.5,21.25,ex_5half+_335,0.35,0.0991702,0.13326,0.844645,0.0162797
20,22.5,21.25,ex2.763_1half-,2.83219,0.97173,0.318976,0.839057,0.0137249
20,22.5,21.25,ex2.980_3half+,3.10579,0.0538854,0.26323,0.838977,0.0145631
20,22.5,21.25,ex3.661_NEW,3.72273,0.81449,0.423807,0.848877,0.0125171
