scope,bin_lo,bin_hi,bin_center,chi2,ndf,chi2_per_ndf
inclusive,10,40,25,103.034,58,1.77645
bin,10,12.5,11.25,36.4217,53,0.687203
bin,12.5,15,13.75,47.4548,59,0.804319
bin,15,17.5,16.25,52.4464,55,0.953571
bin,17.5,20,18.75,42.6785,58,0.735836
bin,20,22.5,21.25,53.7888,58,0.927393
bin,22.5,25,23.75,40.2824,58,0.694524
bin,25,27.5,26.25,64.0323,58,1.10401
bin,27.5,30,28.75,63.7449,64,0.996013
bin,30,32.5,31.25,69.6665,56,1.24404
bin,32.5,35,33.75,63.5473,50,1.27095
bin,35,37.5,36.25,83.1176,39,2.13122
bin,37.5,40,38.75,48.5953,29,1.6757
