Ex_MeV,data,data_err,fit_total,sum_gauss,sum_bw,ps1n,bg,ps2n,contam
-1.45,6,2.44949,8.75153,9.69329e-31,0,0,8.75153,0,0
-1.35,6,2.44949,8.75153,1.61725e-26,0,0,8.75153,0,0
-1.25,4,2,8.75153,1.34739e-22,0,0,8.75153,0,0
-1.15,8,2.82843,8.75153,5.60549e-19,0,0,8.75153,0,0
-1.05,6,2.44949,8.75153,1.1645e-15,0,0,8.75153,0,0
-0.95,6,2.44949,8.75153,1.20802e-12,0,0,8.75153,0,0
-0.85,10,3.16228,8.75153,6.25771e-10,0,0,8.75153,0,0
-0.75,9,3,8.75153,1.61869e-07,0,0,8.75153,0,0
-0.65,8,2.82843,8.75155,2.09084e-05,0,0,8.75153,0,0
-0.55,13,3.60555,8.75288,0.00134864,0,0,8.75153,0,0
-0.45,15,3.87298,8.79498,0.0434438,0,0,8.75153,0,0
-0.35,9,3,9.45073,0.699197,0,0,8.75153,0,0
-0.25,21,4.58258,14.3846,5.63303,0,0,8.75153,0,0
-0.15,35,5.91608,31.6671,22.9155,0,0,8.75153,0,0
-0.05,47,6.85565,57.6776,48.926,0,0.000123813,8.75153,0,0
0.05,82,9.05539,72.3715,63.6159,0,0.00406777,8.75153,0,0
0.15,82,9.05539,78.9478,70.1865,0,0.00981973,8.75153,0,0
0.25,91,9.53939,84.2424,75.4462,0,0.0446993,8.75153,0,0
0.35,55,7.4162,71.4915,62.5734,0,0.166553,8.75153,0,0
0.45,51,7.14143,42.5764,33.3263,0,0.498572,8.75153,0,0
0.55,31,5.56776,20.2795,10.2726,0,1.25532,8.75153,0,0
0.65,38,6.16441,13.0718,1.70607,0,2.61419,8.75153,0,0
0.75,27,5.19615,13.5262,0.146461,9.1816e-06,4.62821,8.75153,0,0
0.85,34,5.83095,15.7901,0.00637087,0.000952515,7.03129,8.75153,0,0
0.95,27,5.19615,18.2035,0.000139214,0.00441577,9.44737,8.75153,0,0
1.05,34,5.83095,20.414,1.52273e-06,0.0113661,11.6511,8.75153,0,0
1.15,23,4.79583,22.419,8.32514e-09,0.0227578,13.6447,8.75153,0,0
1.25,26,5.09902,24.3503,2.27371e-11,0.0394208,15.5593,8.75153,0,0
1.35,26,5.09902,26.0548,3.10137e-14,0.0621278,17.2411,8.75153,0,0
1.45,28,5.2915,27.3961,2.11254e-17,0.0921458,18.5524,8.75153,0,0
1.55,24,4.89898,28.5044,7.18577e-21,0.130349,19.6226,8.75153,0,0
1.65,30,5.47723,29.4694,1.22054e-24,0.178552,20.5393,8.75153,0,0
1.75,26,5.09902,30.3799,1.03524e-28,0.238345,21.39,8.75153,0,0
1.85,27,5.19615,31.752,4.38467e-33,0.311591,22.6889,8.75153,0,0
1.95,32,5.65685,33.4393,9.2734e-38,0.401784,24.2859,8.75153,0,0
2.05,33,5.74456,34.4521,9.79372e-43,0.511923,25.1886,8.75153,0,0
2.15,34,5.83095,35.0901,5.16492e-48,0.648087,25.6905,8.75153,0,0
2.25,32,5.65685,35.8675,1.36015e-53,0.817869,26.2981,8.75153,0,0
2.35,36,6,36.7126,1.78861e-59,1.04406,26.917,8.75153,0,0
2.45,39,6.245,38.026,1.17449e-65,1.54052,27.734,8.75153,0,0
2.55,37,6.08276,41.1441,3.85117e-72,3.88227,28.5103,8.75153,0,0
2.65,59,7.68115,50.8966,6.30581e-79,12.9381,29.207,8.75153,0,0
2.75,63,7.93725,68.2975,5.1558e-86,29.5846,29.9613,8.75153,0,0
2.85,80,8.94427,77.6322,2.10503e-93,38.369,30.5117,8.75153,0,0
2.95,72,8.48528,71.9033,4.29167e-101,32.0728,31.079,8.75153,0,0
3.05,67,8.18535,66.7314,4.3692e-109,26.0529,31.9269,8.75153,0,0
3.15,62,7.87401,64.1811,2.22118e-117,22.9257,32.5038,8.75153,0,0
3.25,66,8.12404,59.9558,5.63861e-126,18.6218,32.5825,8.75153,0,0
3.35,52,7.2111,60.0685,7.14771e-135,18.7458,32.5712,8.75153,0,0
3.45,78,8.83176,67.6084,4.52448e-144,26.2259,32.6309,8.75153,0,0
3.55,75,8.66025,79.6435,1.43013e-153,38.0985,32.7934,8.75153,0,0
3.65,92,9.59166,89.9415,2.25731e-163,48.1914,32.9985,8.75153,0,0
3.75,93,9.64365,92.7466,1.77915e-173,50.8741,33.121,8.75153,0,0
3.85,85,9.21954,89.4583,7.00231e-184,47.5139,33.1928,8.75153,0,0
3.95,98,9.89949,88.5437,1.37618e-194,46.5727,33.2194,8.75153,0,0
4.05,91,9.53939,98.1027,1.35057e-205,56.2023,33.1488,8.75153,0,0
4.15,119,10.9087,113.715,6.61858e-217,71.9165,33.0473,8.75153,0,0
4.25,115,10.7238,117.754,1.61964e-228,76.0322,32.9701,8.75153,0,0
4.35,108,10.3923,106.14,1.97916e-240,64.4888,32.8996,8.75153,0,0
4.45,94,9.69536,94.1779,1.20767e-252,52.6129,32.8135,8.75153,0,0
4.55,85,9.21954,90.6608,3.67979e-265,49.1907,32.7118,8.75153,0.00680134,0
4.65,106,10.2956,92.7273,5.59891e-278,51.2903,32.661,8.75153,0.0244906,0
4.75,92,9.59166,95.8423,4.25394e-291,54.4626,32.5606,8.75153,0.0675327,0
4.85,95,9.74679,97.4567,1.61393e-304,56.2955,32.2671,8.75153,0.142564,0
4.95,93,9.64365,97.0571,3.05755e-318,55.9964,31.9811,8.75153,0.328069,0
5.05,98,9.89949,95.1723,0,53.8212,31.7907,8.75153,0.808863,0
5.15,97,9.84886,92.668,0,50.6683,31.529,8.75153,1.71924,0
5.25,91,9.53939,90.3853,0,47.5799,31.0495,8.75153,3.00439,0
5.35,91,9.53939,89.0636,0,45.4494,30.4592,8.75153,4.40346,0
5.45,79,8.88819,89.8499,0,44.973,30.1572,8.75153,5.96818,0
5.55,101,10.0499,93.5231,0,46.6133,30.129,8.75153,8.02919,0
5.65,105,10.247,99.9451,0,50.405,30.1263,8.75153,10.6622,0
5.75,105,10.247,107.906,0,55.493,29.9427,8.75153,13.7187,0
5.85,117,10.8167,115.1,0,59.8605,29.4266,8.75153,17.0613,0
5.95,107,10.3441,119.227,0,61.1314,28.9143,8.75153,20.4294,0
6.05,143,11.9583,119.945,0,58.5681,28.6957,8.75153,23.9294,0
6.15,113,10.6301,120.234,0,55.1249,28.4568,8.75153,27.9012,0
6.25,119,10.9087,123.842,0,55.3069,27.8897,8.75153,31.8936,0
6.35,133,11.5326,126.967,0,54.9156,27.3046,8.75153,35.995,0
6.45,124,11.1355,120.48,0,44.9297,26.7209,8.75153,40.0774,0
6.55,96,9.79796,109.608,0,30.9235,25.9514,8.75153,43.9814,0
6.65,125,11.1803,104.284,0,22.2444,25.3276,8.75153,47.9604,0
6.75,103,10.1489,102.748,0,18.1946,24.9349,8.75153,50.8667,0
6.85,89,9.43398,102.262,0,15.7748,24.6313,8.75153,53.1039,0
6.95,112,10.583,103.049,0,13.9406,24.2744,8.75153,56.0821,0
