bin_lo,bin_hi,bin_center,state,Ex_MeV,counts,counts_err
10,12.5,11.25,gs_3half+,0,11.7195,4.95508
10,12.5,11.25,ex_1half+_217,0.218,10.3074,4.74394
10,12.5,11.25,ex_5half+_335,0.35,0.0300795,8.05578
10,12.5,11.25,ex2.763_1half-,2.83219,0.628128,54.7342
10,12.5,11.25,ex2.980_3half+,3.10579,0.628429,1.21578
10,12.5,11.25,ex3.661_NEW,3.72273,24.8206,9.66376
10,12.5,11.25,ex4.231_3half+,4.21907,16.228,9.36449
10,12.5,11.25,ex4.841_1half+,4.94246,189.793,21.7773
10,12.5,11.25,ex5.91_3half+,5.98862,35.2769,12.926
10,12.5,11.25,ex6.30_5half+,6.36845,0.628086,53.3991
10,12.5,11.25,contaminant,0.85,0,0
12.5,15,13.75,gs_3half+,0,7.847,4.69601
12.5,15,13.75,ex_1half+_217,0.218,27.3841,6.3252
12.5,15,13.75,ex_5half+_335,0.35,0.0300795,1.6973
12.5,15,13.75,ex2.763_1half-,2.83219,12.2848,5.32592
12.5,15,13.75,ex2.980_3half+,3.10579,16.0329,6.08843
12.5,15,13.75,ex3.661_NEW,3.72273,54.1197,12.6651
12.5,15,13.75,ex4.231_3half+,4.21907,28.9234,10.3377
12.5,15,13.75,ex4.841_1half+,4.94246,147.949,24.386
12.5,15,13.75,ex5.91_3half+,5.98862,113.591,23.1262
12.5,15,13.75,ex6.30_5half+,6.36845,46.9421,12.1894
12.5,15,13.75,contaminant,0.85,0,0
15,17.5,16.25,gs_3half+,0,3.27438,3.9861
15,17.5,16.25,ex_1half+_217,0.218,19.9742,5.71139
15,17.5,16.25,ex_5half+_335,0.35,0.0300795,21.2122
15,17.5,16.25,ex2.763_1half-,2.83219,17.9273,5.81772
15,17.5,16.25,ex2.980_3half+,3.10579,25.5386,6.87968
15,17.5,16.25,ex3.661_NEW,3.72273,35.7315,10.8637
15,17.5,16.25,ex4.231_3half+,4.21907,47.1045,10.7191
15,17.5,16.25,ex4.841_1half+,4.94246,114.253,20.02
15,17.5,16.25,ex5.91_3half+,5.98862,103.106,20.5284
15,17.5,16.25,ex6.30_5half+,6.36845,11.5724,10.2596
15,17.5,16.25,contaminant,0.85,0,0
17.5,20,18.75,gs_3half+,0,3.47468,4.51773
17.5,20,18.75,ex_1half+_217,0.218,0.0300795,12.2223
17.5,20,18.75,ex_5half+_335,0.35,2.63775,3.74735
17.5,20,18.75,ex2.763_1half-,2.83219,11.3705,5.77968
17.5,20,18.75,ex2.980_3half+,3.10579,7.91331,5.53941
17.5,20,18.75,ex3.661_NEW,3.72273,59.4483,12.9165
17.5,20,18.75,ex4.231_3half+,4.21907,44.5194,10.7437
17.5,20,18.75,ex4.841_1half+,4.94246,81.225,21.8485
17.5,20,18.75,ex5.91_3half+,5.98862,99.864,23.0846
17.5,20,18.75,ex6.30_5half+,6.36845,15.5926,10.9503
17.5,20,18.75,contaminant,0.85,0,0
20,22.5,21.25,gs_3half+,0,6.03779,3.86967
20,22.5,21.25,ex_1half+_217,0.218,0.0300795,4.37499
20,22.5,21.25,ex_5half+_335,0.35,2.63806,3.1505
20,22.5,21.25,ex2.763_1half-,2.83219,25.6783,6.72266
20,22.5,21.25,ex2.980_3half+,3.10579,1.4238,6.85213
20,22.5,21.25,ex3.661_NEW,3.72273,21.7751,10.3198
20,22.5,21.25,ex4.231_3half+,4.21907,32.4832,9.63552
20,22.5,21.25,ex4.841_1half+,4.94246,100.793,21.9329
20,22.5,21.25,ex5.91_3half+,5.98862,58.7031,20.59
20,22.5,21.25,ex6.30_5half+,6.36845,4.83292,9.60275
20,22.5,21.25,contaminant,0.85,0,0
22.5,25,23.75,gs_3half+,0,9.97993,5.65033
22.5,25,23.75,ex_1half+_217,0.218,10.2431,8.30656
22.5,25,23.75,ex_5half+_335,0.35,0.881839,11.7687
22.5,25,23.75,ex2.763_1half-,2.83219,4.61384,4.95629
22.5,25,23.75,ex2.980_3half+,3.10579,7.35213,5.45442
22.5,25,23.75,ex3.661_NEW,3.72273,32.6208,12.0547
22.5,25,23.75,ex4.231_3half+,4.21907,19.8213,9.54223
22.5,25,23.75,ex4.841_1half+,4.94246,70.0168,22.7562
22.5,25,23.75,ex5.91_3half+,5.98862,81.2977,21.6013
22.5,25,23.75,ex6.30_5half+,6.36845,10.3196,10.033
22.5,25,23.75,contaminant,0.85,0,0
25,27.5,26.25,gs_3half+,0,4.43638,4.14408
25,27.5,26.25,ex_1half+_217,0.218,5.68245,6.81678
25,27.5,26.25,ex_5half+_335,0.35,2.10467,7.56617
25,27.5,26.25,ex2.763_1half-,2.83219,21.5759,6.17452
25,27.5,26.25,ex2.980_3half+,3.10579,8.81033,5.33693
25,27.5,26.25,ex3.661_NEW,3.72273,38.4594,10.5127
25,27.5,26.25,ex4.231_3half+,4.21907,27.2429,9.36745
25,27.5,26.25,ex4.841_1half+,4.94246,61.073,16.8938
25,27.5,26.25,ex5.91_3half+,5.98862,94.8067,16.9816
25,27.5,26.25,ex6.30_5half+,6.36845,15.43,8.14265
25,27.5,26.25,contaminant,0.85,0,0
27.5,30,28.75,gs_3half+,0,17.0063,5.92752
27.5,30,28.75,ex_1half+_217,0.218,4.64315,7.64266
27.5,30,28.75,ex_5half+_335,0.35,6.65684,6.67991
27.5,30,28.75,ex2.763_1half-,2.83219,17.5957,5.66213
27.5,30,28.75,ex2.980_3half+,3.10579,7.43086,5.5674
