variant,inclusive_chi2,inclusive_ndf,inclusive_chi2_per_ndf,perbin_median_chi2_per_ndf,perbin_max_chi2_per_ndf,perbin_min_chi2_per_ndf,total_chi2,total_ndf,total_chi2_per_ndf
nominal,103.0340,58,1.7765,0.9748,2.1312,0.6872,768.8105,695,1.1062
bw_g0.70,103.2480,58,1.7801,0.9799,2.1244,0.6973,769.9014,695,1.1078
bw_g0.85,103.0540,58,1.7768,0.9757,2.1295,0.6911,768.6176,695,1.1059
bw_g1.15,103.0360,58,1.7765,0.9747,2.1312,0.6871,768.8141,695,1.1062
bw_g1.30,103.0390,58,1.7765,0.9745,2.1311,0.6870,768.7382,695,1.1061
no_3661,116.5270,61,1.9103,1.0778,2.0545,0.6630,807.1180,710,1.1368
ps1n_x0.30,103.0340,58,1.7765,0.9748,2.1312,0.6872,768.8151,695,1.1062
ps1n_x3.00,103.0340,58,1.7765,0.9748,2.1312,0.6872,768.8148,695,1.1062
ps2n_x0.30,103.0340,58,1.7765,0.9748,2.1313,0.6872,768.8209,695,1.1062
ps2n_x3.00,103.0340,58,1.7765,0.9618,2.1313,0.6873,765.2946,695,1.1011
bg_x0.30,103.0340,58,1.7765,0.9748,2.1312,0.6872,768.8117,695,1.1062
bg_x3.00,103.0410,58,1.7766,0.9752,2.1315,0.6887,769.3852,695,1.1070
L_s0_L3,103.0220,58,1.7762,0.9747,2.1303,0.6870,768.5544,695,1.1058
L_s1_L0,103.0350,58,1.7765,0.9748,2.1312,0.6872,768.7920,695,1.1062
L_s1_L3,103.0340,58,1.7765,0.9749,2.1310,0.6872,768.7577,695,1.1061
L_s2_L0,103.1880,58,1.7791,0.9726,2.1275,0.6863,767.6933,695,1.1046
L_s2_L3,102.8620,58,1.7735,0.9796,2.1339,0.6881,770.7193,695,1.1089
L_s3_L0,103.0440,58,1.7766,0.9752,2.1317,0.6876,768.9822,695,1.1064
L_s4_L0,103.2860,58,1.7808,0.9731,2.1289,0.6955,767.7836,695,1.1047
L_s5_L3,103.0190,58,1.7762,0.9732,2.1310,0.6891,770.3838,695,1.1085
L_s6_L3,103.0340,58,1.7765,0.9748,2.1312,0.6871,768.7983,695,1.1062
