state,bin_center,nominal,stat_err,syst_half_range,syst_lo,syst_hi,syst_over_stat
ex2.763_1half-,11.25,0.0486012,4.23549,0.0053384,0.0485955,0.0592723,0.0012604
ex2.763_1half-,13.75,0.731148,0.379755,0.070832,0.660546,0.80221,0.18652
ex2.763_1half-,16.25,0.904493,0.363422,0.0538535,0.88856,0.996267,0.148184
ex2.763_1half-,18.75,0.494252,0.290989,0.059081,0.40438,0.522542,0.203035
ex2.763_1half-,21.25,0.97173,0.318976,0.035832,0.966156,1.03782,0.112334
ex2.763_1half-,23.75,0.156156,0.182838,0.030303,0.111482,0.172088,0.165737
ex2.763_1half-,26.25,0.668926,0.239758,0.0399025,0.633562,0.713367,0.166428
ex2.763_1half-,28.75,0.506914,0.203136,0.0316015,0.482394,0.545597,0.155568
ex2.763_1half-,31.25,0.443037,0.196536,0.0248445,0.425253,0.474942,0.126412
ex2.763_1half-,33.75,0.129176,0.168657,0.014502,0.112654,0.141658,0.0859852
ex2.980_3half+,11.25,0.0499929,0.115469,0.00022655,0.0499077,0.0503608,0.001962
ex2.980_3half+,13.75,0.955205,0.434641,0.540714,0.933541,2.01497,1.24405
ex2.980_3half+,16.25,1.28888,0.431562,0.08231,1.23546,1.40008,0.190726
ex2.980_3half+,18.75,0.343969,0.270124,0.337401,0.341687,1.01649,1.24906
ex2.980_3half+,21.25,0.0538854,0.26323,0.0673215,0.02378,0.158423,0.255752
ex2.980_3half+,23.75,0.24776,0.205309,0.164839,0.245155,0.574834,0.802885
ex2.980_3half+,26.25,0.269544,0.186879,0.160021,0.250166,0.570209,0.856284
ex2.980_3half+,28.75,0.213642,0.178252,0.07577,0.189345,0.340885,0.425072
ex2.980_3half+,31.25,0.176637,0.160071,0.109369,0.158861,0.3776,0.683256
ex2.980_3half+,33.75,0.133909,0.193724,0.079177,0.127286,0.28564,0.40871
ex3.661_NEW,11.25,2.21635,0.972035,0.243875,2.07294,2.56069,0.250891
ex3.661_NEW,13.75,3.26255,0.885138,0.383615,3.01975,3.78698,0.433396
ex3.661_NEW,16.25,1.78527,0.620292,0.237275,1.63156,2.10611,0.382521
ex3.661_NEW,18.75,2.53874,0.643655,0.325155,2.32104,2.97135,0.50517
ex3.661_NEW,21.25,0.81449,0.423807,0.123299,0.732485,0.979083,0.290932
ex3.661_NEW,23.75,1.077,0.440658,0.10097,1.0146,1.21654,0.229135
ex3.661_NEW,26.25,1.12675,0.357891,0.094795,1.06731,1.2569,0.264871
ex3.661_NEW,28.75,1.22525,0.363325,0.101445,1.16406,1.36695,0.279213
ex3.661_NEW,31.25,0.979805,0.391322,0.0789045,0.932221,1.09003,0.201636
ex3.661_NEW,33.75,1.09203,0.460974,0.079335,1.04545,1.20412,0.172103
ex3.661_NEW,36.25,0.0389529,2.33266,0.0501869,0.0272952,0.127669,0.0215149
ex3.661_NEW,38.75,0.022328,0.177263,0.00014195,0.0223211,0.022605,0.000800788
ex4.231_3half+,11.25,1.72085,1.08184,1.72123,1.4993,4.94176,1.59102
ex4.231_3half+,13.75,1.8911,0.76288,2.35306,1.59811,6.30424,3.08445
ex4.231_3half+,16.25,2.39909,0.649617,1.36266,2.16934,4.89466,2.09764
ex4.231_3half+,18.75,1.88673,0.536806,2.00048,1.63373,5.63469,3.72663
ex4.231_3half+,21.25,1.20994,0.417373,0.883565,1.08458,2.85171,2.11697
ex4.231_3half+,23.75,0.652201,0.346589,0.593301,0.584337,1.77094,1.71183
ex4.231_3half+,26.25,0.794068,0.312736,0.542674,0.734231,1.81958,1.73525
ex4.231_3half+,28.75,0.511496,0.287327,0.658238,0.444175,1.76065,2.2909
ex4.231_3half+,31.25,0.465203,0.33656,0.489145,0.42285,1.40114,1.45337
ex4.231_3half+,33.75,0.261711,0.305115,0.432947,0.210066,1.07596,1.41896
ex4.231_3half+,36.25,0.0223423,0.0364252,0.0002795,0.0218242,0.0223832,0.00767326
ex4.231_3half+,38.75,0.0176513,2.55263,0.00012195,0.0174351,0.017679,4.77743e-05
ex4.841_1half+,11.25,32.6538,4.5226,3.27695,26.5953,33.1492,0.724572
ex4.841_1half+,13.75,13.0251,2.41567,1.5203,10.1987,13.2393,0.629349
ex4.841_1half+,16.25,6.2672,1.24963,0.93187,4.5454,6.40914,0.745717
ex4.841_1half+,18.75,3.41192,0.994188,0.610365,2.27792,3.49865,0.613933
ex4.841_1half+,21.25,3.73136,0.894649,0.47032,2.84796,3.7886,0.525703
ex4.841_1half+,23.75,2.28611,0.792276,0.30018,1.727,2.32736,0.378883
ex4.841_1half+,26.25,1.75659,0.535859,0.207425,1.42932,1.84417,0.387089
ex4.841_1half+,28.75,2.82227,0.604254,0.243255,2.37683,2.86334,0.402571
ex4.841_1half+,36.25,0.0143933,0.182932,0.00065565,0.0139724,0.0152837,0.00358412
ex4.841_1half+,38.75,0.0110003,0.80194,0.00048045,0.0107075,0.0116684,0.00059911
ex5.91_3half+,16.25,6.36602,1.41989,1.30554,5.1878,7.79888,0.919466
ex5.91_3half+,18.75,4.18586,1.05704,0.429005,4.12078,4.97879,0.405855
ex5.91_3half+,21.25,2.15441,0.807098,0.370135,2.07942,2.81969,0.4586
ex5.91_3half+,23.75,2.92598,0.84388,0.34787,2.8149,3.51064,0.412227
ex5.91_3half+,26.25,3.85204,0.798243,0.25236,3.68084,4.18556,0.316144
ex5.91_3half+,28.75,0.598344,0.440842,0.212514,0.415708,0.840737,0.482065
ex5.91_3half+,31.25,0.0167027,0.0604572,0.00040625,0.0159088,0.0167213,0.00671963
ex5.91_3half+,33.75,0.0139138,0.350126,0.00033885,0.0132514,0.0139291,0.000967794
ex5.91_3half+,36.25,0.0117606,1.51528,0.0002839,0.0112067,0.0117745,0.000187358
ex5.91_3half+,38.75,0.0105929,4.28609,0.00025785,0.0100976,0.0106133,6.01597e-05
ex6.30_5half+,16.25,0.713075,0.666226,0.230585,0.253443,0.714613,0.346106
ex6.30_5half+,18.75,0.652658,0.487412,0.0182,0.616967,0.653367,0.0373401
ex6.30_5half+,21.25,0.177269,0.361353,0.0240905,0.132306,0.180487,0.0666675
ex6.30_5half+,23.75,0.371657,0.379468,0.0121075,0.348147,0.372362,0.0319065
ex6.30_5half+,26.25,0.62871,0.368579,0.0070035,0.616596,0.630603,0.0190014
ex6.30_5half+,28.75,0.0248757,0.0471877,2.75e-06,0.024873,0.0248785,5.82779e-05
ex6.30_5half+,31.25,0.0201933,7.33491,2.25e-06,0.0201911,0.0201956,3.06752e-07
ex6.30_5half+,33.75,0.0168092,413.234,1.9e-06,0.0168073,0.0168111,4.59788e-09
